name,description,ingredients,category,protein,carbs,fat,fiber,vitamins,calories,cooking_time,spicy_level,instructions,is_vegetarian
Masala Dosa,"A crispy rice pancake filled with spicy potato masala , a popular South Indian breakfast.","rice, urad dal, fenugreek seeds, potatoes, onions, green chilies, mustard seeds, curry leaves",breakfast,7,35,6,5,"{'vitamin C': 10, 'vitamin B6': 5}",300,20,3,"1. Soak rice, urad dal, and fenugreek seeds overnight. 2. Grind the soaked ingredients into a smooth batter and ferment for 8 hours. 3. For the masala, boil potatoes and mash. 4. Heat oil, add mustard seeds, curry leaves, onions, and green chilies; sauté until onions are golden. 5. Add the mashed potatoes, salt, and turmeric; mix well. 6. Pour a ladle of batter on a hot griddle, spread thin, drizzle oil, and cook until crispy. 7. Place potato filling in the center, fold dosa, and serve hot with chutney and sambar.",TRUE
Idli,"Steamed rice cakes made with a fermented rice and lentil batter, soft and fluffy.","rice, urad dal, fenugreek seeds",breakfast,4,30,1,2,"{'vitamin B': 6, 'vitamin E': 2}",150,15,1,"1. Soak rice, urad dal, and fenugreek seeds overnight. 2. Grind into a smooth batter and ferment for 8 hours. 3. Grease idli molds with oil. 4. Pour batter into the molds, steam in an idli steamer for 10-12 minutes. 5. Serve hot with coconut chutney and sambar.",TRUE
Sambar,"A tangy and spicy lentil and vegetable stew, typically served with rice or as a side for breakfast items.","toor dal, tamarind, carrots, beans, onions, tomatoes, mustard seeds, curry leaves, sambar powder",main,10,20,5,8,"{'vitamin C': 20, 'vitamin A': 15}",180,30,4,"1. Rinse and pressure cook toor dal until soft. 2. Soak tamarind in water, extract juice. 3. Heat oil, add mustard seeds and curry leaves; sauté until they splutter. 4. Add chopped onions and tomatoes; cook until soft. 5. Add vegetables, sambar powder, and tamarind juice; simmer until veggies are tender. 6. Mix in cooked dal, add water as needed for consistency, and simmer for 10 more minutes. 7. Garnish with coriander and serve.",TRUE
Vada,"A deep-fried savory snack made with a spiced urad dal batter, crispy on the outside and soft inside.","urad dal, green chilies, ginger, curry leaves, black peppercorns, onions",snack,5,15,10,2,"{'vitamin B': 2, 'vitamin K': 3}",250,20,3,"1. Soak urad dal for 2-3 hours. 2. Grind into a thick batter, adding little water if needed. 3. Mix in chopped onions, chilies, ginger, curry leaves, and black pepper. 4. Heat oil in a deep pan. 5. Wet your hands, take a small portion of batter, shape into a round, and make a hole in the center. 6. Gently slide into hot oil and fry until golden brown. 7. Drain on paper towels and serve hot with coconut chutney.",TRUE
Rasam,"A tangy and spiced soup made with tamarind and tomatoes, seasoned with traditional spices.","tamarind, tomatoes, black pepper, cumin seeds, curry leaves, mustard seeds, coriander leaves",side,2,8,1,1,"{'vitamin C': 15, 'vitamin A': 4}",60,15,4,"1. Soak tamarind in water and extract juice. 2. Blend tomatoes into a pulp. 3. Heat oil, add mustard seeds, cumin seeds, and curry leaves; sauté until they splutter. 4. Add tomato pulp, tamarind juice, salt, and turmeric. 5. Add black pepper powder, simmer for 5-10 minutes. 6. Garnish with coriander leaves and serve hot with rice.",TRUE
Pongal,"A comforting South Indian dish made from rice and moong dal, often served for breakfast.","rice, moong dal, ghee, black pepper, cumin seeds, curry leaves, ginger, cashews",breakfast,6,40,8,3,"{'vitamin B6': 4, 'vitamin E': 2}",300,20,2,"1. Rinse rice and moong dal, and dry roast dal lightly. 2. Pressure cook rice and dal with water until soft. 3. Heat ghee, add black pepper, cumin seeds, curry leaves, ginger, and cashews. 4. Pour tempering over cooked rice-dal mixture, mix well, and serve hot.",TRUE
Avial,"A nutritious vegetable curry cooked in coconut and yogurt, typically served as a side dish.","carrots, beans, pumpkin, coconut, yogurt, green chilies, curry leaves",side,4,20,6,5,"{'vitamin C': 15, 'vitamin A': 10}",200,25,1,"1. Chop vegetables and steam them until tender. 2. Grind coconut, green chilies, and cumin seeds into a paste. 3. Add paste and yogurt to cooked vegetables, mix well. 4. Garnish with curry leaves and serve.",TRUE
Upma,"A savory semolina dish with vegetables, a common South Indian breakfast.","semolina, onions, green chilies, mustard seeds, curry leaves, ginger",breakfast,3,30,4,2,"{'vitamin B': 5, 'vitamin C': 4}",180,15,2,"1. Roast semolina in a dry pan until golden, set aside. 2. Heat oil, add mustard seeds, curry leaves, and green chilies. 3. Add onions and ginger, sauté until onions are translucent. 4. Add water, bring to a boil, add roasted semolina slowly, stirring continuously. 5. Cook until water is absorbed, serve hot.",TRUE
Bisi Bele Bath,"A spicy rice and lentil dish from Karnataka, similar to a risotto with tamarind and spices.","rice, toor dal, tamarind, carrots, beans, sambar powder",main,7,35,5,6,"{'vitamin C': 10, 'vitamin A': 8}",350,40,4,"1. Pressure cook rice and toor dal with water. 2. Soak tamarind and extract juice. 3. Heat oil, add chopped vegetables, sauté. 4. Add tamarind juice, sambar powder, and cooked rice-dal mixture, stir well. 5. Simmer for 10-15 minutes, garnish with coriander leaves and serve hot.",TRUE
Vada,"A deep-fried savory snack made with spiced urad dal batter, crispy outside and soft inside.","urad dal, green chilies, ginger, curry leaves, black pepper, onions",snack,5,15,10,2,"{'vitamin B': 2, 'vitamin K': 3}",250,20,3,"1. Soak urad dal for 2-3 hours. 2. Grind into thick batter, adding little water. 3. Mix in onions, chilies, ginger, curry leaves, and pepper. 4. Shape into rounds, fry in hot oil until golden. 5. Serve hot with coconut chutney.",TRUE
